intent,adjective,distance,qid
venues,some music ,0,5
venues,some,2,5
venues,music,1,5
ariports,best ,0,6
ariports,best,1,6
tax,state income ,0,348
tax,state,2,348
tax,income,1,348
code,airport ,0,352
code,airport,1,352
aquarium,biggest ,0,353
aquarium,biggest,1,353
bridge,biggest ,0,354
bridge,biggest,1,354
state,biggest ,0,355
state,biggest,1,355
building,highest commercial ,0,363
building,highest,2,363
building,commercial,1,363
latitude,longitude and ,0,369
latitude,longitude,2,369
Thoroughfare,Main ,0,370
Thoroughfare,Main,1,370
address,suntrust bank ,0,375
address,suntrust,2,375
address,bank,1,375
town,created when the ,0,450
town,created,3,450
town,when,2,450
region,two largest climate ,0,1134
region,two,3,1134
region,largest,2,1134
region,climate,1,1134
airport,closest ,0,1353
airport,closest,1,1353
District,Financial ,0,1464
District,Financial,1,1464
seat,first county ,0,1517
seat,first,2,1517
seat,county,1,1517
point,lowest ,0,1574
point,lowest,1,1574
building,brick ,0,1628
building,brick,1,1628
city,capital ,0,1693
city,capital,1,1693
country,smallest ,0,1704
country,smallest,1,1704
island,closest ,0,1769
island,closest,1,1769
code,airport ,0,1773
code,airport,1,1773
airport,closest ,0,1807
airport,closest,1,1807
location,absolute ,0,1837
location,absolute,1,1837
region,Piedmont triangle ,0,1897
region,Piedmont,2,1897
region,triangle,1,1897
location,approximate grid ,0,1907
location,approximate,2,1907
location,grid,1,1907
city,most dangerous ,0,1938
city,most,2,1938
city,dangerous,1,1938
place,most amazing ,0,1966
place,most,2,1966
place,amazing,1,1966
attraction,main tourist ,0,1992
attraction,main,2,1992
attraction,tourist,1,1992
city,leading port ,0,2187
city,leading,2,2187
city,port,1,2187
point,highest ,0,2199
point,highest,1,2199
city,biggest ,0,2250
city,biggest,1,2250
called,restaurant ,0,2283
called,restaurant,1,2283
code,airport ,0,2328
code,airport,1,2328
city,safest and cheapest ,0,2403
city,safest,3,2403
city,cheapest,1,2403
place,popular ,0,2424
place,popular,1,2424
landfill,biggest ,0,2426
landfill,biggest,1,2426
place,first ,0,2437
place,first,1,2437
point,lowest ,0,2438
point,lowest,1,2438
zone,time ,0,2465
zone,time,1,2465
county,richest ,0,2469
county,richest,1,2469
code,airport ,0,2496
code,airport,1,2496
level,sea ,0,2506
level,sea,1,2506
place,three historic ,0,2614
place,three,2,2614
place,historic,1,2614
region,two ,0,2615
region,two,1,2615
name,city ,0,2637
name,city,1,2637
island,four largest ,0,2651
island,four,2,2651
island,largest,1,2651
airport,closest ,0,2817
airport,closest,1,2817
code,country ,0,2850
code,country,1,2850
region,major climate ,0,2978
region,major,2,2978
region,climate,1,2978
city,largest ,0,3025
city,largest,1,3025
area,ski ,0,3076
area,ski,1,3076
Landmarks,historical ,0,3392
Landmarks,historical,1,3392
located,Angkor Wat ,0,3456
located,Angkor,2,3456
located,Wat,1,3456
Airport,closest International ,0,3481
Airport,closest,2,3481
Airport,International,1,3481
airport,closest ,0,3746
airport,closest,1,3746
center,city ,0,3813
center,city,1,3813
called,Hat Island ,0,3920
called,Hat,2,3920
called,Island,1,3920
county,fastest growing ,0,3939
county,fastest,2,3939
county,growing,1,3939
region,five distinct geographic ,0,4119
region,five,3,4119
region,distinct,2,4119
region,geographic,1,4119
city,other ,0,4153
city,other,1,4153
city,some ,0,4189
city,some,1,4189
like,Beaches ,0,4215
like,Beaches,1,4215
off,Islands ,0,4267
off,Islands,1,4267
region,three climate ,0,4349
region,three,2,4349
region,climate,1,4349
fort,three military ,0,4352
fort,three,2,4352
fort,military,1,4352
attraction,tourist ,0,4355
attraction,tourist,1,4355
airport,closest ,0,4378
airport,closest,1,4378
code,hartford county zip ,0,4389
code,hartford,3,4389
code,county,2,4389
code,zip,1,4389
airport,closest ,0,4451
airport,closest,1,4451
region,administrative ,0,5316
region,administrative,1,5316
borders,international ,0,5425
borders,international,1,5425
code,airport ,0,5440
code,airport,1,5440
airport,closest ,0,5778
airport,closest,1,5778
parts,coldest ,0,5820
parts,coldest,1,5820
Town,considered the ,0,5869
Town,considered,2,5869
called,county ,0,6084
called,county,1,6084
city,safest ,0,6125
city,safest,1,6125
region,four different ,0,6167
region,four,2,6167
region,different,1,6167
mixes,partially enclosed region where sea water ,0,6287
mixes,partially,6,6287
mixes,enclosed,5,6287
mixes,region,4,6287
mixes,where,3,6287
mixes,sea,2,6287
mixes,water,1,6287
district,border ,0,6292
district,border,1,6292
north,90 miles ,0,6509
north,90,2,6509
north,miles,1,6509
Creek,City ,0,6854
Creek,City,1,6854
airport,closest ,0,7020
airport,closest,1,7020
called,beach near LIghthouse ,0,7067
called,beach,3,7067
called,near,2,7067
called,LIghthouse,1,7067
Landmarks,major human made ,0,7269
Landmarks,major,3,7269
Landmarks,human,2,7269
Landmarks,made,1,7269
tax,state sales ,0,7279
tax,state,2,7279
tax,sales,1,7279
Park,best Theme ,0,7358
Park,best,2,7358
Park,Theme,1,7358
city,largest ,0,7371
city,largest,1,7371
Mansion,biggest ,0,7375
Mansion,biggest,1,7375
zone,climate ,0,7402
zone,climate,1,7402
airport,closest ,0,7406
airport,closest,1,7406
airport,closest ,0,7407
airport,closest,1,7407
state,closest ,0,7408
state,closest,1,7408
seat,county ,0,7440
seat,county,1,7440
seat,county ,0,7442
seat,county,1,7442
seat,county ,0,7444
seat,county,1,7444
level,highest point above sea ,0,7590
level,highest,4,7590
level,point,3,7590
level,above,2,7590
level,sea,1,7590
longitude,latitude and ,0,7632
longitude,latitude,2,7632
longitude,latitude and ,0,7633
longitude,latitude,2,7633
latitude,longitude and ,0,7649
latitude,longitude,2,7649
region,physical ,0,7703
region,physical,1,7703
place,most haunted ,0,7715
place,most,2,7715
place,haunted,1,7715
airport,nearest ,0,7760
airport,nearest,1,7760
state,official ,0,7776
state,official,1,7776
States,names Four ,0,7871
States,names,2,7871
States,Four,1,7871
route,southern ,0,7907
route,southern,1,7907
tower,tallest ,0,7930
tower,tallest,1,7930
zone,time ,0,7949
zone,time,1,7949
zone,time ,0,7950
zone,time,1,7950
zone,time ,0,7951
zone,time,1,7951
building,demcon ,0,7959
building,demcon,1,7959
attractions,three tourist ,0,8411
attractions,three,2,8411
attractions,tourist,1,8411
brought,Solomon Island people ,0,8575
brought,Solomon,3,8575
brought,Island,2,8575
brought,people,1,8575
city,largest ,0,8694
city,largest,1,8694
Citadel,on The ,0,8741
Citadel,on,2,8741
Citadel,The,1,8741
settlement,first european ,0,8767
settlement,first,2,8767
settlement,european,1,8767
country,largest ,0,8772
country,largest,1,8772
territory,last ,0,8773
territory,last,1,8773
region,Pine belt ,0,8848
region,Pine,2,8848
region,belt,1,8848
near,Felts Park located ,0,8858
near,Felts,3,8858
near,Park,2,8858
near,located,1,8858
cost,it ,0,8863
cost,it,1,8863
water,considered ,0,8910
water,considered,1,8910
continent,five ,0,8917
continent,five,1,8917
island,biggest ,0,9036
island,biggest,1,9036
waterfall,tallest ,0,9049
waterfall,tallest,1,9049
point,lowest ,0,9060
point,lowest,1,9060
region,westernmost ,0,9166
region,westernmost,1,9166
point,lowest ,0,9171
point,lowest,1,9171
LIghthouse,tallest ,0,9184
LIghthouse,tallest,1,9184
called,airport ,0,9205
called,airport,1,9205
residence,official ,0,9255
residence,official,1,9255
fair,oldest county ,0,9312
fair,oldest,2,9312
fair,county,1,9312
city,capital ,0,9320
city,capital,1,9320
airport,closest major ,0,9327
airport,closest,2,9327
airport,major,1,9327
code,county ,0,9450
code,county,1,9450
destination,popular tourist ,0,9508
destination,popular,2,9508
destination,tourist,1,9508
seat,county ,0,9515
seat,county,1,9515
area,catchment ,0,9589
area,catchment,1,9589
town,closest ,0,9594
town,closest,1,9594
town,tax ,0,9609
town,tax,1,9609
east,ocean ,0,9643
east,ocean,1,9643
Landmark,largest ,0,9764
Landmark,largest,1,9764
point,lowest ,0,10114
point,lowest,1,10114
airport,nearest major ,0,10150
airport,nearest,2,10150
airport,major,1,10150
place,most expensive ,0,10154
place,most,2,10154
place,expensive,1,10154
airport,closest major ,0,10187
airport,closest,2,10187
airport,major,1,10187
city,capital ,0,10234
city,capital,1,10234
island,fourth largest ,0,10235
island,fourth,2,10235
island,largest,1,10235
code,airport ,0,10264
